idx,sentence,label
4606,"Overall survival and 
toxicity were similar.",SCLC
344,"In the setting of brain metastases, consider other options.",NSCLC
2273,Adv Exp Med Biol 2016;893:1 19.,NSCLC
801,"After surgical evaluation, patients ineligible for immunotherapy and likely to receive adjuvant chemotherapy may be treated with neoadjuvant 
systemic therapy as an alternative. Adjuvant Chemotherapy",NSCLC
4917,"Clinical 
neurological outcome and quality of life among patients with limited small 
cell cancer treated with two different doses of prophylactic cranial 
irradiation in the intergroup phase III trial (PC I9901, EORTC 22003 
08004, RTOG 0212 and IFCT 99 01).",SCLC
1392,"Germline T790M  confers a high risk for lung cancer 
regardless of smoking status .273 275",NSCLC
2459,"The utility of rapid on site evaluation 
during bronchoscopic biopsy: A 2 year respiratory endoscopy central 
experience.",NSCLC
4779,"Eur J Nucl Med Mol Imaging 
2004;31:1614 1620.",SCLC
3309,"Polychemotherapy in 
advanced non small cell lung cancer: a meta analysis.",NSCLC
1236,"..............  MS5 
Diagnostic Evaluation  ................................ ................................",NSCLC
1543,"In this trial, 344 patients were 
randomly assigned either to paclitaxel  plus carboplatin or to observation 
(within 4 8 weeks of resection) with a median follow up duration of 74 
months.",NSCLC
3730,Journal of Clinical Oncology 2023;41:LBA9000 LBA9000.,NSCLC
2046,"For patients with NSCLC and EGFR  exon 20 insertions, treatment with 
early generation EGFR TKIs has generally not been associated with 
disease response .178,179,257",NSCLC
3505,"Maintenance treatment of advanced non small cell lung cancer: results of an international expert 
panel meeting of the Italian association of thoracic oncology.",NSCLC
325,"ccc Not an option for EGFR S768I, L861Q, and/or G719X mutations.",NSCLC
4678,"These 
recommendations are based on data from clinical trials and Panel 
expertise.",SCLC
926,Identification of germline EGFR p.T790M confers a high risk for lung cancer regardless of smoking status.,NSCLC
786,"Patient and facility demographics related outcomes in early
stage nonsmall cell lung cancer treated with radiofrequency ablation: a National Cancer 
Database analysis.",NSCLC
151,A preoperative bronchoscopy may also be preferred for tissue diagnosis and/or mediastinal staging (endobronchial ultrasound [EBUS]).,NSCLC
1242,"................................ ...............  MS33 
Systemic Therapy ................................ ................................",NSCLC
472,"N1 and N2 node resection and mapping should be a routine component of lung cancer resectionsa minimum of one N1 and three 
N2 stations sampled or complete lymph node dissection.",NSCLC
556,"IV contrast with 
or without oral contrast is recommended for better target/organ delineation whenever possible in patients with central tumors or nodal disease.",NSCLC
4705,"National Lung Screening Trial Research Team, Aberle DR, Adams 
AM, et al.",SCLC
3364,"Neoadjuvant chemotherapy and 
nivolumab in resectable non",NSCLC
3793,"Guo YJ, Pan WW, Liu SB, et al. ERK/MAPK signalling pathway and tumorigenesis.",NSCLC
2932,Int J Radiat Oncol Biol Phys 2009;75:1462 1467.,NSCLC
166,"Diagnostic accuracy including specificity and particularly the reliability of a negative diagnostic study (ie, true negative)
 Adequate volume of tissue specimen for diagnosis and molecular testing
 Invasiveness and risk of procedure
 Efficiency of evaluation
 Access and timeliness of procedure
 Concomitant staging is beneficial, because it avoids additional biopsies or procedures.",NSCLC
3670,"contrast CT 
alone for surveillance 1 year post lobectomy for stage I non small cell lung 
cancer.",NSCLC
1711,"Treated related deaths occurred in 2.5% (9/355) of 
patients receiving cemiplimab versus 2.0% (7/342) with chemotherapy.",NSCLC
543,"Induction chemoradiotherapy is not superior 
to induction chemotherapy alone in stage IIIA lung cancer: a systematic review 
and metaanalysis.",NSCLC
3307,"American Society of Clinical 
Oncology Clinical Practice Guideline update on chemotherapy for stage IV 
nonsmall cell lung cancer.",NSCLC
545,The critical goals of modern RT are to maximize tumor control and to minimize treatment toxicity.,NSCLC
1142,"If progression on PD1/PDL1 inhibitor, using a PD1/PDL1 inhibitor is not 
recommended.",NSCLC
2429,"Neoadjuvant Nivolumab plus 
Chemotherapy in Resectable Lung Cancer.",NSCLC
3515,"J Clin Oncol 
2010;28(Suppl 15):Abstract 7507.",NSCLC
1714,"The chemotherapy 
regimens included 1) cemiplimab plus paclitaxel  plus either cisplatin or 
carboplatin for either nonsquamous NSCLC or squamous cell histology; or 2) cemiplimab  plus pemetrexed  plus either cisplatin or carboplatin for 
nonsquamous NSCLC.",NSCLC
1817,"Immune mediated adverse events may occur with ICIs, 
including tremelimumab actl and durvalumab .876",NSCLC
4625,"For accelerated  RT, the recommended 
schedule is 1.5 Gy twice daily to a total dose of 45 Gy in 3 weeks.",SCLC
2478,"Pembrolizumab 
versus Chemotherapy for PD L1Positive Non Small Cell Lung Cancer.",NSCLC
714,"Int J 
Radiat Oncol Biol Phys 2008;72:335342.",NSCLC
493,"However, that 
is achieved at the expense of higher rates of acute toxicity and increased cost.",NSCLC
505,94% do not require pathologic complete response in mediastinal lymph nodes.,NSCLC
4251,J Natl Compr Canc Netw 2009;7 Suppl 2:S126.,SCLC
3130,"Stereotactic ablative 
radiation therapy for primary lung tumors.",NSCLC
4462,"Alternating or 
sequential combination therapies have been designed to overcome drug 
resistance by expos ing the tumor to as many active cytotoxic agents as 
possible during initial treatment.135",SCLC
789,"Response to radiofrequency ablation of pulmonary 
tumours: a prospective, intentiontotreat, multicentre clinical trial (the RAPTURE study).",NSCLC
4199,"Durvalumab plus platinumetoposide 
versus platinumetoposide in firstline treatment of extensive stage smallcell lung 
cancer (CASPIAN): a randomised, controlled, openlabel, phase 3 trial.",SCLC
208,"If FDGPET/CT scan is positive in the mediastinum, lymph node status needs 
pathologic confirmation.l Surgical resection is considered the first option for operable patients with stage 
IA lung cancer, but patients may also be informed about SABR as an alternative 
option through shared decisionmaking.",NSCLC
4506,"Other recommended 
subsequent therapy options , described in the following sections,  include 
topotecan (oral [PO] or IV), lurbinectedin, CAV, docetaxel, oral etoposide, 
gemcitabine, irinotecan, nivolumab, paclitaxel, pembrolizumab, and 
temozolomide (category 2A for all agents).",SCLC
4266,"Eighth ed., 2017 Definitions of TNM
Continued
Used with permission of the American College of Surgeons, Chicago, Illinois.",SCLC
4412,"However, m ost patients with limited stage SCLC  are not eligible for 
surgery or SABR.",SCLC
2493,"Diagnostic Value of Insulinoma
Associated Protein 1 (INSM1) and Comparison With Established 
Neuroendocrine Markers in Pulmonary Cancers.",NSCLC
792,"Influence of radiofrequency ablation of lung cancer on 
pulmonary function.",NSCLC
2281,Ten years of progress in non small cell lung cancer.,NSCLC
1046,e Atezolizumab and hyaluronidasetqjs subcutaneous injection may be substituted for IV atezolizumab.,NSCLC
4489,"A short  2week  course, full intensity chemotherapy showed  
acceptable results  in patients  (median age , 73 and poor PS) ; but this 
approach has not been directly compared with 4 to 6 cycles of therapy.182  
PCI should be used with caution in patients who are older .",SCLC
1192,"Lung Cancer 2005;49:233
240.
24 Green M, Manikhas G, Orlov S, et al.",NSCLC
777,"LVEF) ≤40%, resting or exercise PaO2 <55 mmHg, and pCO 2 >45 mmHg.4",NSCLC
4663,"A shorter course of PCI 
may be appropriate (e .g., 20 Gy in 5 fractions) for selected patients with 
extensive stage SCLC .292 PCI should not be given concurrently with 
chemotherapy, and high total RT dose (>30 Gy) should be avoided 
because of the increased risk of neurotoxicity.184 After the acute toxicities 
of initial systemic therapy have resolved, PCI can be administered.",SCLC
1418,"NTRK1/2/3 Gene Fusions  
NTRK  gene fusions encode tropomyosin receptor kinase (TRK)  fusion 
proteins (eg, TRKA, TRKB, TRKC) that act as oncogenic drivers for solid 
tumors including lung, salivary gland, thyroid, and sarcoma.326 328 A 
diverse range of solid tumors in children and adults  may be caused by  
NTRK  gene fusions (eg, NTRK1, NTRK2, NTRK3 ).",NSCLC
1665,"Based on data in the second line setting, PD 1 or PD L1 
inhibitor monotherapy appears to be less effective in patients with EGFR  
exon 19 deletion s, EGFR  exon 21 L858R  mutations, or ALK 
rearrangements,  regardless of PD L1 expression levels.358,362,827,834,835 A 
small study suggests that single agent pembrolizumab is not effective as 
firstline therapy in patients with metastatic NSCLC and EGFR  mutations, 
even those with PD L1 levels more than 50%.372 Patients with 
ALK positive NSCLC and very high PD L1 expression levels do not 
respond to pembrolizumab.184,827 In the trials assessing the efficacy of 
firstline therapy with pembrolizumab with (or without) chemotherapy, most 
of the patients were wild type for  EGFR  or ALK variants.",NSCLC
2495,"Guidelines for pathologic diagnosis of malignant mesothelioma 2017 update of the Consensus 
Statement From the International Mesothelioma Interest Group.",NSCLC
3466,"Atezolizumab plus bevacizumab 
and chemotherapy in non small cell lung cancer (IMpower150): key 
subgroup analyses of patients with EGFR mutations or baseline liver 
metastases in a randomised, open label phase 3 trial.",NSCLC
1789,"Overall survival was improved 
regardless of PD L1 expression levels; TMB did not predict for 
response.870 For the pembrolizumab plus chemotherapy group, median 
PFS was 8.8 months (95% CI, 7.6 9.2) compared with 4.9 months (95% 
CI, 4.7 5.5) for chemotherapy alone (HR for disease progression or death, 
0.52; 95% CI, 0.43 0.64; P < .001).",NSCLC
4717,"Paraneoplastic syndromes associated with 
small cell lung cancer.",SCLC
771,"IGTA includes radiofrequency ablation, microwave ablation, and cryoablation.",NSCLC
3111,"Palliative radiotherapy trials for bone 
metastases: a systematic review.",NSCLC
2852,Surg Clin North Am 2002;82:541 559.,NSCLC
742,"Ann Thorac Surg 2004;78:12001205.
93 Suntharalingam M, et al.",NSCLC
3993,"Semin Oncol 2003;30:38.
9 Nicholson SA, Beasley MB, Brambilla E, et al.",SCLC
1928,"Positive FDG PET/CT scan findings for distant 
disease need pathologic or other radiologic confirmation.",NSCLC
4539,"The Panel added a consideration for irinotecan for 
patients with CNS disease.",SCLC
3827,"Prescribing information: fam trastuzumab deruxtecan nxki for 
injection, for intravenous use.",NSCLC
3607,J Thorac Cardiovasc Surg 2020;160:e71 e79.,NSCLC
2655,"Osimertinib or Platinum Pemetrexed 
in EGFR T790M Positive Lung Cancer.",NSCLC
169,"Technologies and expertise available
 Tumor viability at proposed biopsy site from FDGPET/CT imaging
Decisions about the optimal diagnostic steps for suspected stage I to III lung cancer should be made by thoracic radiologists, interventional 
radiologists, thoracic surgeons, and pulmonologists who devote a significant portion of their practice to thoracic oncology.",NSCLC
4231,"If extensive stage is established, brain imaging MRI (preferred) or CT with contrast is recommended.",SCLC
968,The presence of METex14  skipping mutation is associated with responsiveness to oral MET TKIs.,NSCLC
3805,"Efficacy and Safety of 
Larotrectinib in Patients With Tropomyosin Receptor Kinase Fusion
Positive Lung Cancers.",NSCLC
2501,"D2 40 and podoplanin are highly specific and sensitive 
immunohistochemical markers of epithelioid malignant mesothelioma.",NSCLC
2854,"assisted thoracic 
surgery sleeve lobectomy: a case series.",NSCLC
1288,"False positive 
results (eg, benign intrapulmonary lymph nodes, noncalcified granulomas) frequently occurred with low dose CT when using the original cutoffs for 
nodule size deemed suspicious for malignancy from the NLST.",NSCLC
45,"(also applies to NSCL39)
NSCLB 2 of 6
 Resection
Last bullet modified: T3 (invasion) and T4 local invasion  extension  tumors require enbloc resection of the involved structure with negative margins.",NSCLC
5027,"International Commission on Radiation Units and 
Measurements (ICRU); 1993.",SCLC
3200,"Int J Radiat Oncol Biol 
Phys 2013;85:190 195.",NSCLC
4148,"Palliative Radiation for Extracranial Metastases :
 Common radiation dosefractionation regimens (eg, 30 Gy in 10 fractions, 20 Gy in 5 fractions, 8 Gy in 1 fraction) used for palliation of other 
solid tumors are appropriate for palliation of SCLC metastases in most patients.",SCLC
866,"Concurrent cisplatin, etoposide, and chest radiotherapy in pathologic stage IIIB nonsmallcell lung cancer: A Southwest 
Oncology Group Phase II Study, SWOG 9019.",NSCLC
3433,Am J Clin Oncol 2016;39:441 447.,NSCLC
1013,Tissue biopsy of a progressing lesion should be considered to evaluate morphology and biomarker analysis.,NSCLC
1594,"The ongoing debate centers on which modalities to use and in 
what sequence.",NSCLC
4978,"Phase II trial of gemcitabine 
in refractory or relapsed small cell lung cancer: Eastern Cooperative 
Oncology Group Trial 1597.",SCLC
52,Adjuvant chemotherapy may be considered for large tumors in selected patients for whom it is safe.,NSCLC
4071,"Antitumor activity of lurbinectedin in 
secondline small cell lung cancer patients who are candidates for rechallenge 
with the firstline treatment.",SCLC
921,"Molecular testing for EGFR mutations should be performed when TKI therapy is a consideration for NSCLC stage IBIII C. While the 
testing process may be technically easier on a resection specimen, initial diagnostic biopsy specimens are also acceptable for testing 
for this indication.",NSCLC
2246,"IUNO, a phase 3 randomized trial, assessed erlotinib as switch 
maintenance therapy (and as subsequent therapy) for patients with 
nonsquamous NSCLC and PS 0 to 2 but without EGFR  mutations.893 
Overall survival and PFS were not improved in patients receiving erlotinib when compared with placebo.",NSCLC
1627,"If patients are not eligible for the 
targeted therapy or immunotherapy regimens , then chemotherapy 
regimens are recommended.",NSCLC
4168,"Final report of a prospective randomized study on 
thoracic radiotherapy target volume for limited stage small cell lung cancer with 
radiation dosimetric analyses.",SCLC
2588,"Li T, Kung HJ, Mack PC, Gandara DR.",NSCLC
1173,"N Engl J Med 2006;355:25422550.10 Patel JD, Socinski MA, Garon EB, et al.",NSCLC
1508,"By analogy 
with surgical treatment , adjuvant chemotherapy may be considered after 
definitive RT, preferably SABR , in patients with high risk factors for 
recurrence (eg, large tumor size )",NSCLC
2882,Demmy TL. VATS lobectomy for frail or complex patients.,NSCLC
361,"o IGTA  therapy (eg, cryotherapy, microwave, radiofrequency) may be an option for select pati ents.",NSCLC
4781,"Positron emission 
tomography in limited stage small cell lung cancer: a prospective study.",SCLC
3452,"Compared with Reference Bevacizumab 
(Avastin((R))), Both Plus Paclitaxel and Carboplatin, as First Line 
Treatment for Advanced Non Squamous Non Small Cell Lung Cancer: A 
Randomized, Double Blind Study.",NSCLC
3548,"Non small cell lung cancer: a 
Leuven Lung Cancer Group Study.",NSCLC
593,"Upfront multidisciplinary 
consultation is particularly important when considering surgical treatment of patients with stage III NSCLC.",NSCLC
1003,"The approval of multiple different assays for PDL1 has raised concern among both 
pathologists and oncologists.",NSCLC
3329,"Randomized phase III trial of vinorelbine plus cisplatin compared with observation in completely 
resected stage IB and II non small cell lung cancer: updated survival 
analysis of JBR 10.",NSCLC
4824,"Carboplatin  or cisplatin based 
chemotherapy in first line treatment of small cell lung cancer: the COCIS 
meta analysis of individual patient data.",SCLC
3350,"Phase II study of 
carboplatin and pemetrexed in advanced non squamous, non small cell 
lung cancer:",NSCLC
1483,"406,548 550 Image guided thermal 
ablation (eg, cryotherapy, microwave, radiofrequency ablation",NSCLC
805,"Cisplatin 75 mg/m² day 1, gemcitabine 1000 mg/m² or 1250 mg/m² days 1 and 8 (squamous histology)",NSCLC
4860,"J 
Natl Cancer Inst 1991;83:855 861.",SCLC
5039,"Stereotactic ablative 
radiotherapy in T1 2N0M0 small cell lung cancer: A systematic review and 
meta analysis.",SCLC
2527,Journal of Clinical Oncology 2021;39:9021 9021.,NSCLC
4664,"When 
given after the completion of chemotherapy and at a low dos e per fraction , 
PCI may cause less neurologic toxicity.",SCLC
407,Nonacid decalcification approaches may be successful for subsequent molecular testing.,NSCLC
4466,"In two trials, the addition of ifosfamide (or 
cyclophosphamide plus an anthracycline) to etoposide/cisplatin showed a 
modest survival advantage.138,139 However, these findings have not been 
uniformly observed, and the addition of an alkylating agent, with or without 
an anthracycline, significantly increases hematologic toxicity when 
compared to etoposide/cisplatin alone.140 Two different phase 3 trials  
assess ing the combination of ifosfamide, etoposide, and epirubicin versus 
etoposide/cisplatin , and carboplatin plus etoposide with or without 
palifosfamide  confirmed the lack of improvement in survival with 
three drug chemo therapy regimens in patients with extensive stage 
SCLC .141,142",SCLC
3026,"Hernando ML, Marks LB, Bentel GC, et al. Radiation induced 
pulmonary toxicity: a dose volume histogram analysis in 201 patients with 
lung cancer.",NSCLC
4114,"Initially involved nodal regions (but not their entire presystemic therapy volume) should be covered.14,18 
 Dose and schedule:",SCLC
1587,"NADIM, a single arm phase 2 study, assessed neoadjuvant therapy with 
nivolumab plus paclitaxel plus carboplatin in 46 patients with surgically resectable stage IIIA NSCLC ; 41 patients had resection.",NSCLC
3155,"Stereotactic ablative 
radiotherapy for pulmonary oligometastases and oligometastatic lung 
cancer.",NSCLC
2696,"Epidermal growth factor 
receptor exon 20 insertions in advanced lung adenocarcinomas: Clinical 
outcomes and response to erlotinib.",NSCLC
1566,"Most patients (86%) received adjuvant platinum based 
chemotherapy after resection but had not received neoadjuvant 
chemotherapy or radiotherapy.",NSCLC
4003,"This 
may also include an endoscopic staging procedure.",SCLC
1322,"Thus, two markers may be sufficient to distinguish 
adenocarcinomas from squamous cell carcinomas.",NSCLC
2215,The panel notes that switching between agents with a similar mechanism of action at the time of progression is not recommended.,NSCLC
1397,"Other 
recommended TKI options in this setting include dacomitinib, erlotinib, or 
gefitinib.292,293 
EGFR Exon 20  Insertion Mutations  
Exon 20 insertions are the third most common EGFR  mutations; they 
occur in approximately 2% of patients with NSCLC and 4% to 12% of 
patients with EGFR  mutations.179,259,294,295 Although there are many 
different EGFR exon 20  insertion mutations, three are more common 
(insASV, insSVD, and insNPH).179 Most patients with EGFR exon 20 
insertion mutations have low response rates ( ≤9%) to afatinib, erlotinib, 
or gefitinib .178,179",NSCLC
4791,J Natl Compr Canc Netw 2011;9:1132 1139.,SCLC
1005,"Interpretation of PDL1 IHC in NSCLC is typically focused on the proportion of tumor cells expressing membranous staining at any 
level and therefore is a linear variable; scoring systems may be different in other tumor types.",NSCLC
3644,"J Clin Oncol 2005;23 (Suppl 16):Abstract 
LBA7012.",NSCLC
2512,"Rami Porta R, Crowley JJ, Goldstraw P.",NSCLC
2970,"Impact of Intensity Modulated 
Radiation Therapy Technique for Locally Advanced Non Small",NSCLC
210,Principles of Radiation Therapy (NSCLC) .,NSCLC
1621,"Patients receiving 
durvalumab received less subsequent immunotherapy (11.6%) 
compared with those who received placebo (28.3%).",NSCLC
678,"Excessive toxicity when treating central tumors in a phase II study of 
stereotactic body radiation therapy for medically inoperable earlystage lung cancer.",NSCLC
3282,"Preresectional 
chemotherapy in stage IIIA non small cell lung cancer: a 7 year 
assessment of a randomized controlled trial.",NSCLC
1412,"MET Genomic Alterations   
CMET, the hepatocyte growth factor (HGF) receptor,  is a tyrosine  kinase 
receptor that is involved in cell survival and proliferation; oncogenic driver genomic alterations in MET include MET ex14 skipping mutations, MET 
gene copy number (GCN) gain or amplification, and MET protein overexpression.",NSCLC
1417,"The panel also voted that crizotinib or 
systemic therapy options (such as carboplatin plus paclitaxel) are useful in 
certain circumstances.",NSCLC
2883,"Chest 
Meeting Abstracts 2003;124:234S. Available at: 
http://meeting.chestpubs.org/cgi/reprint/124/4/234S.pdf .",NSCLC
3488,Immune Checkpoint Blockade in Cancer Therapy.,NSCLC
1713,"EMPOWER Lung 3, a  randomized phase 3 trial, assessed first line 
therapy with cemiplimab plus platinum based chemotherapy versus 
platinum based chemotherapy alone in 466 patients with advanced 
NSCLC, regardless of PD L1 levels or histology.",NSCLC
694,"Sequential vs. concurrent chemoradiation for stage III nonsmall cell lung 
cancer: randomized phase III trial RTOG 9410.",NSCLC
2515,"Rami Porta R, Asamura H, Travis WD, Rusch VW.",NSCLC
2337,"Siegel RL, Miller KD, Fuchs HE, Jemal A. Cancer statistics, 2022.",NSCLC
3860,The European Lung Cancer Working Party.,NSCLC
3785,"Doebele RC, Ahn M J, Siena S, et al. OA02.01: Efficacy and safety 
of entrectinib in locally advanced or metastatic ROS1 positive non small 
cell lung cancer (NSCLC)",NSCLC
534,"Ann Thorac Surg 2008;86:16321638.
17 Sonett JR, Suntharalingam M, Edelman MJ, et al.",NSCLC
1860,"Therefore, 
a CT scan will miss small metastases that do not result in node 
enlargement.",NSCLC
4478,"It is important to note that  trilaciclib or G CSF are not 
treatment options.",SCLC
1087,"Alectinib in ALK positive, crizotinib resistant, non small cell lung cancer: 
a single group, multicentre, phase 2 trial.",NSCLC
772,IGTA is a form of “local therapy” or “local ablative therapy.,NSCLC
1865,"Depending on the clinical scenario, a sensitivity of 
40% to 65% and a specificity of 45% to 90% were reported.909 Because 
they detect tumor physiology, as opposed to anatomy, PET scans may be 
more sensitive than CT scans.",NSCLC
1185,"Randomized phase III study of gemcitabinecisplatin 
versus etoposidecisplatin in the treatment of locally advanced or metastatic nonsmall cell lung cancer.",NSCLC
