idx,sentence,label,processed_sentence
11,"NSCL31
 Subsequent Therapy
Asymptomatic; Symptomatic, Systemic, Limited progression: Continuation of taletrectinib added
Asymptomatic; Symptomatic, Systemic, Multiple lesions: Taletrectinib added (if not previously given)
Symptomatic, Brain: Taletrectinib added as a preferred option; Repotrectinib also noted as a preferred option
 Footnote ppp modified: Repotrectinib or taletrectinib  is an option for resistant mutations, such as ROS1 G2032R.
NSCLJ 1 of 6
 ROS1 Rearrangement 
Taletrectinib added to firstline and subsequent therapy 
NSCLJ 5 of 6
 Reference added: 35 Perol M, et al. Taletrectinib in ROS1+ nonsmall cell lung cancer: TRUST.",NSCLC,subsequent therapy asymptomatic symptomatic systemic limited progression continuation taletrectinib add asymptomatic symptomatic systemic multiple lesion taletrectinib add previously give symptomatic brain taletrectinib add preferred option repotrectinib note preferred option footnote ppp modify repotrectinib taletrectinib option resistant mutation nsclj rearrangement taletrectinib add firstline subsequent therapy nsclj reference add perol m et al taletrectinib nonsmall cell lung cancer trust
12,"ALK rearrangement discovered during firstline systemic therapy
 Ensartinib added as a preferred option
NSCL28
 Subsequent Therapy
Continuation of ensartinib added as an option
NSCL29
 Subsequent Therapy
Ensartinib added as an option
 Footnote nnn modified: Patients who are intolerant to crizotinib may be switched to ceritinib, alectinib, brigatinib, ensartinib , or lorlatinib.",NSCLC,alk rearrangement discover firstline systemic therapy ensartinib add preferred option subsequent therapy continuation ensartinib add option subsequent therapy ensartinib add option footnote nnn modify patient intolerant crizotinib switch ceritinib alectinib brigatinib ensartinib lorlatinib
13,"NSCLJ 1 of 6
 ALK Rearrangement 
Ensartinib added to firstline and subsequent therapy 
NSCLJ 5 of 6
 References added:  
24 Horn L, et al.",NSCLC,nsclj alk rearrangement ensartinib add firstline subsequent therapy nsclj reference add horn l et al
14,Ensartinib vs crizotinib for patients with anaplastic lymphoma kinase−positive nonsmall cell lung cancer .,NSCLC,ensartinib vs crizotinib patient anaplastic lymphoma nonsmall cell lung cancer
15,"Ensartinib (X396) in ALKpositive nonsmall cell lung cancer: results from a firstinhuman phase I/II, multicenter study.",NSCLC,ensartinib alkpositive nonsmall cell lung cancer result firstinhuman phase ii multicenter study
16,"Nivolumab and hyaluronidasenvhy 
has different dosing and administration instructions compared to IV nivolumab.",NSCLC,nivolumab hyaluronidasenvhy different dosing administration instruction compare iv nivolumab
17,"(also added as subbullet 2 under nivolumab on NSCLE 5 of 6)
NSCLK 4 of 5
 Footnote w added: Nivolumab and hyaluronidasenvhy subcutaneous injection may be substituted for IV nivolumab.",NSCLC,add subbullet nivolumab nscle nsclk footnote w add nivolumab hyaluronidasenvhy subcutaneous injection substitute iv nivolumab
18,"More research is necessary to identify relevant 
risk factorssuch as environmental exposures (eg, indoor and outdoor air pollution, radon, asbestos), chronic lung diseases, and family history/genetic 
predispositionto augment lung cancer screening in the future.",NSCLC,research necessary identify relevant risk factorssuch environmental exposure eg indoor outdoor air pollution radon asbestos chronic lung disease family history genetic predispositionto augment lung cancer screening future
19,"DIAGA 3 of 3
 Bullet 1, subbullet 2, diamond 3, entry 4 modified
TTNA and anterior mediastinotomy (ie, Chamberlain procedure) provide additional access to anterior mediastinal (stations 3a, 5, and 6) lymph nodes  
if these are clinically suspicious .",NSCLC,diaga bullet subbullet diamond entry modify ttna anterior mediastinotomy ie chamberlain procedure provide additional access anterior mediastinal station lymph node clinically suspicious
20,"If TTNA is not possible due to proximity to aorta, VATS biopsy is also an option.",NSCLC,ttna possible proximity aorta vats biopsy option
21,"NSCL1
 Clinical Stage modifications
Stage IIIA (T4 invasion  extension , N01; T3, N1; T4, N01)
Separate pulmonary nodule(s) (stage IIB, IIIA, IV) 
Stage IIIA ipsilateral nonprimary lobe (T4, N01); Stage IV (contralateral lung)
Stage IVA, M1b and stage IVB, M1c (also applies to NSCL15)
Stage IVB (M1c) Pleural metastases  or disseminated metastases
NSCL2
 Negative mediastinal nodes, operable, surgical exploration and resection
Destination link changed from adjuvant treatment to findings at surgery (NSCL4)
 Footnote l added: Surgical resection is considered the first option for operable patients with stage IA  lung cancer, but patients may also be informed 
about SABR as an alternative option through shared decisionmaking.",NSCLC,clinical stage modification stage iiia invasion extension separate pulmonary stage iib iiia iv stage iiia ipsilateral nonprimary lobe stage iv contralateral lung stage iva stage ivb apply stage ivb pleural metastasis disseminate metastasis negative mediastinal node operable surgical exploration resection destination link change adjuvant treatment finding surgery footnote l add surgical resection consider option operable patient stage ia lung cancer patient inform sabr alternative option share decisionmaking
22,"(also applies to NSCL9)
NSCL3
 Pretreatment Evaluation
Bullet added: Molecular testing for EGFR, ALK; PDL1 testing (also applies to NSCL5, NSCL8)",NSCLC,apply pretreatment evaluation bullet add molecular testing egfr alk testing apply
23,"No nodal disease changed to N0 or N1
 N1 or N2 disease changed to N2 or N3
 N0 or N1, operable, surgical exploration and resection
Destination link changed from adjuvant treatment to findings at surgery (NSCL4)
 N0 or N1, medically inoperable
Added bifurcation for N0 or N1
 N0 remains as written with addition of (especially T2b3) to highrisk stage II
 N1 links to NSCL10
 Footnote removed: Examples of highrisk factors may include poorly differentiated tumors (including lung neuroendocrine tumors",NSCLC,nodal disease change disease change operable surgical exploration resection destination link change adjuvant treatment finding surgery medically inoperable add bifurcation remain write addition especially highrisk stage ii link footnote remove example highrisk factor include poorly differentiate tumor include lung neuroendocrine tumor
24,"These factors independently may not be an indication and may be considered when determining treatment with 
adjuvant chemotherapy.",NSCLC,factor independently indication consider determine treatment adjuvant chemotherapy
25,"NSCL5
 Clinical Assessment
Stage IIIA (T4 invasion  extension , N01; T3, N1; T4, N01) (also applies to NSCL7)
 Clinical Evaluation
Chest wall, trachea/carina, or mediastinum , or diaphragm (also applies to NSCL7)
Positive mediastinal nodes ( N2)
Positive mediastinal nodes (N3) added
NSCL6
 Clinical Presentation
Superior sulcus tumor (T4 invasion  extension , N01)
 Adjuvant Treatment
Unresectable, definitive concurrent chemoradiation
 Durvalumab clarified for no EGFR exon 19 deletion or L858R (also applies to NSCL7)",NSCLC,clinical assessment stage iiia invasion extension apply clinical evaluation chest wall trachea carina mediastinum diaphragm apply positive mediastinal node positive mediastinal node add clinical presentation superior sulcus tumor invasion extension adjuvant treatment unresectable definitive concurrent chemoradiation durvalumab clarify egfr exon deletion apply
26,"NSCL7
 Clinical Presentation
Stage IIIA (T4 [size], N01) resectable
 Initial Treatment 
Preferred removed from Surgery
NSCL8
 Clinical Assessment
Separate pulmonary nodule(s) (stage IIB, IIIA, IV)",NSCLC,clinical presentation stage iiia size resectable initial treatment preferred remove surgery clinical assessment separate pulmonary stage iib iiia iv
27,"Stage IIIA ipsilateral nonprimary lobe (T4, N01), Stage IV (contralateral lung) added
NSCL9
 T1, N0, operable, surgical exploration and resection
Destination link changed from Adjuvant Treatment to Findings at Surgery (NSCL4)
 T2a3, N0, operable, surgical exploration and resection
Destination link changed from Adjuvant Systemic Therapy (NSCLE) to Findings at Surgery (NSCL4)
 T2a3, N0, medically inoperable
Definitive RT, preferably SABR for T2a (consider for selected larger tumors)",NSCLC,stage iiia ipsilateral nonprimary lobe stage iv contralateral lung add operable surgical exploration resection destination link change adjuvant treatment findings surgery operable surgical exploration resection destination link change adjuvant systemic therapy nscle findings surgery medically inoperable definitive rt preferably sabr consider select large tumor
28,"Patients should be evaluated in a multidisciplinary setting; ie, surgery, radiation oncology, medical oncology (interventional pulmonology and/or 
interventional oncology  radiology as needed ).",NSCLC,patient evaluate multidisciplinary setting ie surgery radiation oncology medical oncology interventional pulmonology interventional oncology radiology need
29,"NSCL13
 Pretreatment Evaluation
Bullet added: Molecular testing for EGFR (also applies to NSCL14)
 N3 positive
Definitive concurrent chemoradiation
 Durvalumab clarified for no EGFR exon 19 deletion or L858R (also applies to NSCL14)
NSCL15
 Limited progression confirmed changed to Solitary or limited metastases confirmed
NSCL17
 Surveillance After Completion of Definitive Therapy
Bullet 4 modified: FDGPET/CT or brain MRI  is not routinely indicated
Bullet 5 added: Brain MRI as clinically indicated based on risk assessment
NSCL18
 Distant metastases
Limited metastasis referencing Stage IV, M1b changed to Stage IVA, M1b and stage IVB, M1c (NSCL15)
Pleural metastases added to disseminated metastases
NSCL19
 Biomarker testing
Adenocarcinoma, Large cell, NSCLC not otherwise specified
 Category 1 added to RET
 NRG1 and HER2 (IHC) added
Squamous cell carcinoma
 NRG1 and HER2 (IHC) added
 Footnote mm modified to include NRG1.",NSCLC,pretreatment evaluation bullet add molecular testing egfr apply positive definitive concurrent chemoradiation durvalumab clarify egfr exon deletion apply limited progression confirm change solitary limited metastasis confirm surveillance completion definitive therapy bullet modify fdgpet ct brain mri routinely indicate bullet add brain mri clinically indicate base risk assessment distant metastasis limited metastasis reference stage iv change stage iva stage ivb pleural metastasis add disseminate metastasis biomarker testing adenocarcinoma large cell nsclc specify category add ret ihc add squamous cell carcinoma ihc add footnote mm modify include
30,"This sentence removed: If a clinically actionable marker is found, it is reasonable to start therapy based on the 
identified marker.",NSCLC,sentence remove clinically actionable marker find reasonable start therapy base identify marker
31,Footnote oo added: Testing for HER2 IHC is recommended at some point during progression.,NSCLC,footnote oo add testing ihc recommend point progression
32,Timing should be balanced with tissue conservation.,NSCLC,timing balance tissue conservation
33,"The following modified: Interrupt current therapy  and start, followed by  Osimertinib (preferred) or Amivantamabvmjw + lazertinib
Footnote xx added: If there is a good response to current therapy, it is reasonable to continue therapy.",NSCLC,follow modify interrupt current therapy start follow osimertinib preferred amivantamabvmjw lazertinib footnote xx add good response current therapy reasonable continue therapy
34,"(also applies to NSCL24, NSCL27, NSCL30, 
NSCL33, NSCL34, NSCL35)
NSCL22
 Subsequent Therapy; Brain
Bullet 1 modified: Consider definitive local therapy (eg, SRS) for limited lesions  (also applies to NSCL23, NSCL28, NSCL29, NSCL31)
Footnote bbb added: Definitive local therapy of CNS disease can include asymptomatic lesions at risk for symptomatic progression based on factors 
including site, location, and edema.",NSCLC,apply subsequent therapy brain bullet modify consider definitive local therapy eg srs limited lesion apply footnote bbb add definitive local therapy cns disease include asymptomatic lesion risk symptomatic progression base factor include site location edema
35,"(also applies to NSCL23, NSCL28, NSCL29, NSCL31)
Footnote ccc added: Not an option for EGFR S768I, L861Q, and/or G719X mutations.",NSCLC,apply footnote ccc add option egfr mutation
36,"NSCL24
 FirstLine Therapy
EGFR mutation discovered during firstline systemic therapy
 The following removed: Complete planned systemic therapy, including maintenance therapy
 The following modified: Interrupt current therapy  and start, followed by  Afatinib (preferred) or Osimertinib (preferred) or Dacomitinib or Erlotinib or 
Gefitinib
NSCL25
 Footnote iii modified: Monitoring During Initial Therapy: Response assessment after 2 cycles, then every 24 cycles with CT of known or highrisk 
sites of disease (eg, chest, abdomen, pelvis)  with or without contrast or when clinically indicated.",NSCLC,firstline therapy egfr mutation discover firstline systemic therapy following remove complete plan systemic therapy include maintenance therapy follow modify interrupt current therapy start follow afatinib preferred osimertinib preferred dacomitinib erlotinib gefitinib footnote iii modify monitor initial therapy response assessment cycle cycle ct known highrisk site disease eg chest abdomen pelvis contrast clinically indicate
37,"Timing of CT scans within Guidelines parameters is a 
clinical decision.",NSCLC,timing ct scan guidelines parameter clinical decision
38,"(also applies to NSCL26, NSCL36, NSCL37, NSCL38, NSCL39; footnote a on NSCLJ 1 of 6, NSCLJ 2 of 6, NSCLJ 3 of 6)
 Footnote kkk modified: Monitoring During Subsequent Therapy or Maintenance Therapy: Response assessment with CT of known or highrisk sites of 
disease (eg, chest, abdomen, pelvis)  with or without contrast every 612 weeks.",NSCLC,apply footnote nsclj nsclj nsclj footnote kkk modify monitor subsequent therapy maintenance therapy response assessment ct known highrisk site disease eg chest abdomen pelvis contrast week
39,Timing of CT scans within Guidelines parameters is a clinical decision.,NSCLC,timing ct scan guidelines parameter clinical decision
40,"Footnote rrr added: For HER2 protein overexpression (IHC3+) treatment options, see NSCLK 4 of 5.
NSCL37
 New page added for the treatment of NRG1 gene fusion
NSCL38
 Performance status removed, as addressed on NSCLJ and NSCLK (also applies to NSCL39)",NSCLC,footnote rrr add protein overexpression treatment option nsclk new page add treatment gene fusion performance status remove address nsclj nsclk apply
41,"Footnote ttt modified: Contraindications for treatment with PD1/PDL1 inhibitors may include active or previously documented autoimmune disease 
and/or current use of immunosuppressive agents; some oncogenic drivers (ie, EGFR exon 19 deletion or L858R; ALK, RET, or ROS1 rearrangements) 
have been shown to be associated with less benefit from PD1/PDL1 inhibitors.",NSCLC,footnote ttt modify contraindication treatment inhibitor include active previously document autoimmune disease current use immunosuppressive agent oncogenic driver ie egfr exon deletion alk ret rearrangement show associate benefit inhibitor
42,"(also applies to footnote a on NSCLE 1 of 6, NSCLE 2 of 6, NSCLE 
5 of 6; footnote d on NSCLK 1 of 5, NSCLK 2 of 5, NSCLK 4 of 5)
 Footnote removed: Atezolizumab monotherapy is a treatment option for patients with PS 3, regardless of PDL1 status.",NSCLC,apply footnote nscle nscle nscle footnote d nsclk nsclk nsclk footnote remove atezolizumab monotherapy treatment option patient ps regardless status
43,"Atezolizumab and 
hyaluronidasetqjs subcutaneous injection may be substituted for IV atezolizumab.",NSCLC,atezolizumab hyaluronidasetqjs subcutaneous injection substitute iv atezolizumab
44,"Atezolizumab and hyaluronidasetqjs has different dosing and 
administration instructions compared to atezolizumab for intravenous infusion.",NSCLC,atezolizumab hyaluronidasetqjs different dosing administration instruction compare atezolizumab intravenous infusion
45,"(also applies to NSCL39)
NSCLB 2 of 6
 Resection
Last bullet modified: T3 (invasion) and T4 local invasion  extension  tumors require enbloc resection of the involved structure with negative margins.",NSCLC,apply nsclb resection bullet modify invasion local invasion extension tumor require enbloc resection involved structure negative margin
46,"If 
a surgeon or center is uncertain about potential complete resection, consider obtaining an additional surgical opinion from a highvolume specialized 
center.",NSCLC,surgeon center uncertain potential complete resection consider obtain additional surgical opinion highvolume specialized center
47,"Preoperative sampling with EBUS or mediastinoscopy should be part of N2 assessment to achieve 3 N2 
nodal stations.",NSCLC,preoperative sampling ebus mediastinoscopy assessment achieve nodal station
48,"The Role of Surgery in Patients with N2 NSCLC
Bullet 1: Added links to pages NSCL3, NSCL5, NSCL8, NSCL11, NSCL13, NSCL14
NSCLB 5 of 6
 Survey data updated from 2021 regarding the approach to patients with N2 disease.",NSCLC,role surgery patients nsclc bullet add link page nsclb survey datum update approach patient disease
49,"NSCLB 6 of 6
 References added:  
2 Saji H, Okada M, Tsuboi M, et al.",NSCLC,nsclb reference add saji h okada m tsuboi m et al
50,"Segmentectomy versus lobectomy in smallsized peripheral nonsmallcell lung cancer (JCOG0802/WJOG4607L): A 
multicentre, openlabel, phase 3, randomised, controlled, noninferiority trial Lancet 2022;399:16071617.",NSCLC,segmentectomy versus lobectomy smallsized peripheral nonsmallcell lung cancer multicentre openlabel phase randomise control noninferiority trial lancet
51,"NSCLC 3 of 10
 SABR for NodeNegative EarlyStage NSCLC
Bullet 4 added: Retrospective data suggest that chemotherapy in addition to SABR provides a survival advantage for patients with large tumors (≥5 
cm).",NSCLC,nsclc sabr nodenegative earlystage nsclc bullet add retrospective datum suggest chemotherapy addition sabr provide survival advantage patient large tumor cm
52,Adjuvant chemotherapy may be considered for large tumors in selected patients for whom it is safe.,NSCLC,adjuvant chemotherapy consider large tumor select patient safe
53,"NSCLC 7 of 10
 Normal Tissue DoseVolume Constraints for Conventionally Fractionated RT with Concurrent Chemotherapy
Heart
 V50 ≤25% removed
 V40 ≤20% added
NSCLC 9 of 10
 Reference 46 added: Verma V, et al.",NSCLC,nsclc normal tissue dosevolume constraints conventionally fractionated rt concurrent chemotherapy heart remove add nsclc reference add verma v et al
54,"Stereotactic body radiation therapy and the influence of chemotherapy on overall survival for large (≥5 centimeter) 
nonsmall cell lung cancer.",NSCLC,stereotactic body radiation therapy influence chemotherapy overall survival large centimeter nonsmall cell lung cancer
55,Int J Radiat Oncol Biol Phys 2017;97:146154.,NSCLC,int j radiat oncol biol phys
56,"NSCLE 1 of 6
 Neoadjuvant Systemic Therapy
Bullet 1 modified: All Patients should be evaluated for preoperative therapy, with strong consideration for an immune checkpoint inhibitor + 
chemotherapy for those patients  with tumors ≥4 cm or node positive and no contraindications to immune checkpoint inhibitors  should be evaluated for 
preoperative therapy, with strong consideration for an immune checkpoint inhibitor + chemotherapy .",NSCLC,nscle neoadjuvant systemic therapy bullet modify patient evaluate preoperative therapy strong consideration immune checkpoint inhibitor chemotherapy patient tumor cm node positive contraindication immune checkpoint inhibitor evaluate preoperative therapy strong consideration immune checkpoint inhibitor chemotherapy
57,"Bullet 3 modified: After surgical evaluation, patients ineligible for immunotherapy and likely to receive adjuvant chemotherapy may be treated with 
induction  neoadjuvant systemic therapy as an alternative.",NSCLC,bullet modify surgical evaluation patient ineligible immunotherapy likely receive adjuvant chemotherapy treat induction neoadjuvant systemic therapy alternative
58,"NSCLE 4 of 6
 Adjuvant Chemotherapy
Bullet 1 modified: For stage IB and IIA (T2b, N0) and negative margins, adjuvant chemotherapy is recommended for highrisk features.",NSCLC,nscle adjuvant chemotherapy bullet modify stage ib iia negative margin adjuvant chemotherapy recommend highrisk feature
59,"Bullet 2 modified: For stage IIB (T1 abcT2a, N1), stage IIB (T3, N0; T2b, N1), stage IIIA (T12, N2; T3, N1; T4, N01), stage IIIB (T3 4, N2) and 
negative margins (R0), adjuvant chemotherapy is recommended as a category 1.",NSCLC,bullet modify stage iib stage iib stage iiia stage iiib negative margin adjuvant chemotherapy recommend category
60,Bullet 3 added: All chemotherapy regimens listed below can be used for sequential chemotherapy/RT.,NSCLC,bullet add chemotherapy regimen list sequential chemotherapy rt
61,"Bullet 4 modified: Test for PDL1 status, EGFR mutations, and ALK rearrangements (stages II IBIIIA, IIIB",NSCLC,bullet modify test status egfr mutation alk rearrangement stage ii ibiiia iiib
62,Bullet 2 added: Patients with completely resected tumors ≥4 cm or nodepositive NSCLC should be evaluated for additional systemic therapy .,NSCLC,bullet add patient completely resect tumor cm nodepositive nsclc evaluate additional systemic therapy
63,"Alectinib
 For patients with completely resected stage IIIIIA or stage IIIB (T3, N2) NSCLC and  positive for ALK rearrangements (category 1).",NSCLC,alectinib patient completely resect stage iiiiia stage iiib nsclc positive alk rearrangement category
64,"Osimertinib 
 For patients with completely resected stage IBIIIA or stage IIIB (T3, N2) NSCLC and  positive for EGFR (exon 19 deletion, exon 21 L858R) 
mutations who received previous adjuvant chemotherapy or are ineligible to receive platinumbased chemotherapy (category 1).",NSCLC,osimertinib patient completely resect stage ibiiia stage iiib nsclc positive egfr exon deletion exon mutation receive previous adjuvant chemotherapy ineligible receive platinumbase chemotherapy category
65,"Atezolizumab
 For patients with completely resected stage IIBIIIA, stage IIIB (T3, N2), or highrisk stage IIA NSCLC with PDL1 ≥1% and negative for EGFR exon 
19 deletion or exon 21 L858R mutations or ALK rearrangements who received previous adjuvant chemotherapy and with no contraindications to 
immune checkpoint inhibitors (category 1).",NSCLC,atezolizumab patient completely resect stage iibiiia stage iiib highrisk stage iia nsclc negative egfr exon deletion exon mutation alk rearrangement receive previous adjuvant chemotherapy contraindication immune checkpoint inhibitor category
66,"Pembrolizumab
 For up to a year for patients with completely resected stage IIBIIIA, stage IIIB (T3, N2), or highrisk stage IIA NSCLC and  negative for EGFR exon 
19 deletion or exon 21 L858R mutations or ALK rearrangements who received previous adjuvant chemotherapy and with no contraindications to 
immune checkpoint inhibitors (category 1).",NSCLC,pembrolizumab year patient completely resect stage iibiiia stage iiib highrisk stage iia nsclc negative egfr exon deletion exon mutation alk rearrangement receive previous adjuvant chemotherapy contraindication immune checkpoint inhibitor category
67,The benefit for patients with PDL1 <1% is unclear.,NSCLC,benefit patient unclear
68,"For up to 39 weeks for patients with completely resected stage IIIIIA or stage IIIB (T3, N2) NSCLC who received previous neoadjuvant 
pembrolizumab + chemotherapy (category 1).",NSCLC,week patient completely resect stage iiiiia stage iiib nsclc receive previous neoadjuvant pembrolizumab chemotherapy category
69,"Durvalumab 
 For patients with completely resected tumors ≥4 cm and/or node positive NSCLC  who received previous neoadjuvant durvalumab + chemotherapy 
and no known EGFR mutations or ALK rearrangements (category 1).",NSCLC,durvalumab patient completely resect tumor cm node positive nsclc receive previous neoadjuvant durvalumab chemotherapy know egfr mutation alk rearrangement category
70,"Nivolumab 
 For patients with completely resected stage IIIIIB NSCLC who received previous neoadjuvant nivolumab + chemotherapy and no known EGFR 
mutations or ALK rearrangements (category 1).",NSCLC,nivolumab patient completely resect stage iiiiib nsclc receive previous neoadjuvant nivolumab chemotherapy known egfr mutation alk rearrangement category
71,"Survivorship care for people affected by advanced or metastatic cancer: MASCCASCO standards and 
practice recommendations Support Care cancer 2024;32:313.",NSCLC,survivorship care people affect advanced metastatic cancer masccasco standard practice recommendation support care cancer
72,"Lung cancer survivorship: physical, social, emotional, and medical needs of NSCLC survivors.",NSCLC,lung cancer survivorship physical social emotional medical need nsclc survivor
73,"J Natl Compr Canc 
Netw 2024;22:e237072.",NSCLC,j natl compr canc netw
74,"Unmet needs, quality of life, and financial toxicity among survivors of lung cancer .",NSCLC,unmet need quality life financial toxicity survivor lung cancer
75,"Pulmonary rehabilitation for adults with chronic respiratory disease: An Official American Thoracic Society 
Clinical Prcatice Guideline.",NSCLC,pulmonary rehabilitation adult chronic respiratory disease official american thoracic society clinical prcatice guideline
76,Am J Respir Crit Care Med 2023;208:e7e26.,NSCLC,j respir crit care med
77,Exercise and lung cancer surgery: a systematic review of randomizedcontrolled trials.,NSCLC,exercise lung cancer surgery systematic review randomizedcontrolled trial
78,Am J Respir Crit Care Med 2023;207:e6e28.,NSCLC,j respir crit care med
79,"NSCLH 1 of 8
 Bullet 3 added: Clinicopathologic features should not be used to select patients for testing.",NSCLC,nsclh bullet add clinicopathologic feature select patient testing
80,"(clinicopathologic features removed from molecular targets 
throughout)
NSCLH 2 of 8
 Bullet removed: Sanger sequencing requires the greatest degree of tumor enrichment.",NSCLC,clinicopathologic feature remove molecular target nsclh bullet remove sanger sequence require great degree tumor enrichment
81,"Unmodified Sanger sequencing is not appropriate for detection 
of mutations in tumor samples with less than 25% to 30% tumor after enrichment and is not appropriate for assays in which identification of subclonal 
events (eg, resistance mutations) is important.",NSCLC,unmodified sanger sequence appropriate detection mutation tumor sample tumor enrichment appropriate assay identification subclonal event eg resistance mutation important
82,"If Sanger sequencing is utilized, tumor enrichment methodologies are nearly always recommended.",NSCLC,sanger sequence utilize tumor enrichment methodology nearly recommend
83,"point mutation in exon 21) are associated with 
responsiveness to oral EGFR tyrosine kinase inhibitor (TKI) therapy; most recent data indicate that  tumors that do not harbor a sensitizing EGFR 
mutation should not be treated with EGFR TKI in any line of therapy.",NSCLC,point mutation exon associate responsiveness oral egfr tyrosine kinase inhibitor tki therapy recent datum indicate tumor harbor sensitize egfr mutation treat egfr tki line therapy
84,"Diamond 2 modified: Molecular testing for EGFR mutations should be performed when adjuvant TKI therapy is a consideration for NSCLC stage IB
IIICA and stage IIIB (T3, N2) .",NSCLC,diamond modify molecular testing egfr mutation perform adjuvant tki therapy consideration nsclc stage ib iiica stage iiib
85,"While the testing process may be technically easier on a resection specimen, initial diagnostic biopsy specimens are 
also acceptable for testing for this indication.",NSCLC,testing process technically easy resection speciman initial diagnostic biopsy specimen acceptable test indication
86,"NSCLH 4 of 8
 ALK (anaplastic lymphoma kinase) Gene Rearrangements
Diamond 2 added: Molecular testing for ALK rearrangement mutations should be performed when TKI therapy is a consideration for NSCLC stage IB
IIIB.",NSCLC,nsclh alk anaplastic lymphoma kinase gene rearrangement diamond add molecular testing alk rearrangement mutation perform tki therapy consideration nsclc stage ib iiib
87,"While the testing process may be technically easier on a resection specimen, initial diagnostic biopsy specimens are also acceptable for testing 
for this indication.",NSCLC,testing process technically easy resection speciman initial diagnostic biopsy specimen acceptable testing indication
88,"NSCLH 6 of 8
 Section added for HER2 protein overexpression:  
HER2, encoded by ERBB2, can be overexpressed in a variety of malignancies
HER2 overexpression is defined as 3+ tumor cell staining, based on IHC.",NSCLC,nsclh section add protein overexpression encode overexpresse variety malignancy overexpression define tumor cell stain base ihc
89,"At this time, there is no recommendation regarding specific IHC antibody clone for HER2 staining in NSCLC.",NSCLC,time recommendation specific ihc antibody clone stain nsclc
